,timestamp,pilot,aggressor,shiptype,module_or_ammo,dmg,hit_quality
3072,2023-02-01 23:22:47,Dravynea Uta,Sleepless Sentinel,Sleepless Sentinel,Phantasmata Missile,1260,Hits
3076,2023-02-01 23:22:51,Dravynea Uta,Sleepless Sentinel,Sleepless Sentinel,,317,Smashes
3102,2023-02-01 23:23:54,Dravynea Uta,Brian Caruso,Paladin,Imperial Navy Large EMP Smartbomb,253,Hits
3108,2023-02-01 23:24:02,Dravynea Uta,Brian Caruso,Paladin,Imperial Navy Large EMP Smartbomb,83,Hits
3111,2023-02-01 23:24:03,Dravynea Uta,Lamasul,Vargur,Imperial Navy Large EMP Smartbomb,79,Hits
3112,2023-02-01 23:24:03,Dravynea Uta,Lamasul,Vargur,Imperial Navy Large EMP Smartbomb,79,Hits
3113,2023-02-01 23:24:03,Dravynea Uta,Lamasul,Vargur,Imperial Navy Large EMP Smartbomb,79,Hits
3122,2023-02-01 23:24:10,Dravynea Uta,Brian Caruso,Paladin,Imperial Navy Large EMP Smartbomb,83,Hits
3123,2023-02-01 23:24:10,Dravynea Uta,Lamasul,Vargur,Imperial Navy Large EMP Smartbomb,79,Hits
3124,2023-02-01 23:24:10,Dravynea Uta,Lamasul,Vargur,Imperial Navy Large EMP Smartbomb,79,Hits
3125,2023-02-01 23:24:11,Dravynea Uta,Lamasul,Vargur,Imperial Navy Large EMP Smartbomb,79,Hits
3731,2023-02-01 23:33:22,Dravynea Uta,Brian Caruso,Paladin,Imperial Navy Large EMP Smartbomb,263,Hits
3733,2023-02-01 23:33:24,Dravynea Uta,Anarevien Lemmont,Vargur,Imperial Navy Large EMP Smartbomb,263,Hits
3734,2023-02-01 23:33:25,Dravynea Uta,Lamasul,Vargur,Imperial Navy Large EMP Smartbomb,263,Hits
3735,2023-02-01 23:33:26,Dravynea Uta,Lamasul,Vargur,Imperial Navy Large EMP Smartbomb,263,Hits
3736,2023-02-01 23:33:26,Dravynea Uta,Lamasul,Vargur,Imperial Navy Large EMP Smartbomb,263,Hits
3752,2023-02-01 23:33:30,Dravynea Uta,Brian Caruso,Paladin,Imperial Navy Large EMP Smartbomb,263,Hits
3754,2023-02-01 23:33:32,Dravynea Uta,Anarevien Lemmont,Vargur,Imperial Navy Large EMP Smartbomb,263,Hits
3756,2023-02-01 23:33:33,Dravynea Uta,Lamasul,Vargur,Imperial Navy Large EMP Smartbomb,263,Hits
3757,2023-02-01 23:33:33,Dravynea Uta,Lamasul,Vargur,Imperial Navy Large EMP Smartbomb,263,Hits
3758,2023-02-01 23:33:33,Dravynea Uta,Lamasul,Vargur,Imperial Navy Large EMP Smartbomb,263,Hits
3772,2023-02-01 23:33:38,Dravynea Uta,Brian Caruso,Paladin,Imperial Navy Large EMP Smartbomb,263,Hits
3774,2023-02-01 23:33:40,Dravynea Uta,Anarevien Lemmont,Vargur,Imperial Navy Large EMP Smartbomb,263,Hits
3775,2023-02-01 23:33:40,Dravynea Uta,Lamasul,Vargur,Imperial Navy Large EMP Smartbomb,263,Hits
3776,2023-02-01 23:33:41,Dravynea Uta,Lamasul,Vargur,Imperial Navy Large EMP Smartbomb,263,Hits
3777,2023-02-01 23:33:41,Dravynea Uta,Lamasul,Vargur,Imperial Navy Large EMP Smartbomb,263,Hits
3786,2023-02-01 23:33:46,Dravynea Uta,Brian Caruso,Paladin,Imperial Navy Large EMP Smartbomb,263,Hits
3787,2023-02-01 23:33:48,Dravynea Uta,Lamasul,Vargur,Imperial Navy Large EMP Smartbomb,263,Hits
3788,2023-02-01 23:33:48,Dravynea Uta,Lamasul,Vargur,Imperial Navy Large EMP Smartbomb,263,Hits
3789,2023-02-01 23:33:48,Dravynea Uta,Lamasul,Vargur,Imperial Navy Large EMP Smartbomb,263,Hits
3797,2023-02-01 23:33:54,Dravynea Uta,Brian Caruso,Paladin,Imperial Navy Large EMP Smartbomb,263,Hits
3800,2023-02-01 23:33:55,Dravynea Uta,Lamasul,Vargur,Imperial Navy Large EMP Smartbomb,263,Hits
3801,2023-02-01 23:33:56,Dravynea Uta,Lamasul,Vargur,Imperial Navy Large EMP Smartbomb,263,Hits
3802,2023-02-01 23:33:56,Dravynea Uta,Lamasul,Vargur,Imperial Navy Large EMP Smartbomb,81,Hits
3803,2023-02-01 23:33:56,Dravynea Uta,Emergent Sentinel,Emergent Sentinel,,22,Penetrates
3807,2023-02-01 23:33:58,Dravynea Uta,Emergent Sentinel,Emergent Sentinel,Oneiric Missile,43,Hits
3811,2023-02-01 23:34:02,Dravynea Uta,Emergent Sentinel,Emergent Sentinel,,53,Penetrates
3813,2023-02-01 23:34:03,Dravynea Uta,Lamasul,Vargur,Imperial Navy Large EMP Smartbomb,142,Hits
3815,2023-02-01 23:34:03,Dravynea Uta,Lamasul,Vargur,Imperial Navy Large EMP Smartbomb,79,Hits
3816,2023-02-01 23:34:03,Dravynea Uta,Lamasul,Vargur,Imperial Navy Large EMP Smartbomb,79,Hits
3819,2023-02-01 23:34:08,Dravynea Uta,Brian Caruso,Paladin,Imperial Navy Large EMP Smartbomb,81,Hits
3822,2023-02-01 23:34:10,Dravynea Uta,Lamasul,Vargur,Imperial Navy Large EMP Smartbomb,80,Hits
3824,2023-02-01 23:34:11,Dravynea Uta,Lamasul,Vargur,Imperial Navy Large EMP Smartbomb,80,Hits
3825,2023-02-01 23:34:11,Dravynea Uta,Lamasul,Vargur,Imperial Navy Large EMP Smartbomb,79,Hits
3829,2023-02-01 23:34:16,Dravynea Uta,Brian Caruso,Paladin,Imperial Navy Large EMP Smartbomb,83,Hits
3830,2023-02-01 23:34:18,Dravynea Uta,Lamasul,Vargur,Imperial Navy Large EMP Smartbomb,80,Hits
3832,2023-02-01 23:34:18,Dravynea Uta,Lamasul,Vargur,Imperial Navy Large EMP Smartbomb,80,Hits
3833,2023-02-01 23:34:19,Dravynea Uta,Lamasul,Vargur,Imperial Navy Large EMP Smartbomb,80,Hits
3836,2023-02-01 23:34:24,Dravynea Uta,Brian Caruso,Paladin,Imperial Navy Large EMP Smartbomb,83,Hits
3838,2023-02-01 23:34:25,Dravynea Uta,Lamasul,Vargur,Imperial Navy Large EMP Smartbomb,79,Hits
3839,2023-02-01 23:34:26,Dravynea Uta,Lamasul,Vargur,Imperial Navy Large EMP Smartbomb,80,Hits
3840,2023-02-01 23:34:26,Dravynea Uta,Lamasul,Vargur,Imperial Navy Large EMP Smartbomb,80,Hits
3844,2023-02-01 23:34:32,Dravynea Uta,Brian Caruso,Paladin,Imperial Navy Large EMP Smartbomb,79,Hits
3850,2023-02-01 23:34:40,Dravynea Uta,Brian Caruso,Paladin,Imperial Navy Large EMP Smartbomb,92,Hits
3854,2023-02-01 23:34:48,Dravynea Uta,Brian Caruso,Paladin,Imperial Navy Large EMP Smartbomb,83,Hits
3859,2023-02-01 23:34:56,Dravynea Uta,Brian Caruso,Paladin,Imperial Navy Large EMP Smartbomb,83,Hits
3862,2023-02-01 23:35:00,Dravynea Uta,Lamasul,Vargur,Imperial Navy Large EMP Smartbomb,80,Hits
3863,2023-02-01 23:35:00,Dravynea Uta,Lamasul,Vargur,Imperial Navy Large EMP Smartbomb,79,Hits
3864,2023-02-01 23:35:00,Dravynea Uta,Lamasul,Vargur,Imperial Navy Large EMP Smartbomb,79,Hits
3867,2023-02-01 23:35:04,Dravynea Uta,Brian Caruso,Paladin,Imperial Navy Large EMP Smartbomb,80,Hits
3869,2023-02-01 23:35:09,Dravynea Uta,Lamasul,Vargur,Imperial Navy Large EMP Smartbomb,81,Hits
3871,2023-02-01 23:35:09,Dravynea Uta,Lamasul,Vargur,Imperial Navy Large EMP Smartbomb,79,Hits
3872,2023-02-01 23:35:10,Dravynea Uta,Lamasul,Vargur,Imperial Navy Large EMP Smartbomb,79,Hits
3873,2023-02-01 23:35:12,Dravynea Uta,Brian Caruso,Paladin,Imperial Navy Large EMP Smartbomb,80,Hits
3876,2023-02-01 23:35:16,Dravynea Uta,Lamasul,Vargur,Imperial Navy Large EMP Smartbomb,82,Hits
3877,2023-02-01 23:35:17,Dravynea Uta,Lamasul,Vargur,Imperial Navy Large EMP Smartbomb,79,Hits
3878,2023-02-01 23:35:17,Dravynea Uta,Lamasul,Vargur,Imperial Navy Large EMP Smartbomb,79,Hits
3880,2023-02-01 23:35:20,Dravynea Uta,Brian Caruso,Paladin,Imperial Navy Large EMP Smartbomb,80,Hits
3890,2023-02-01 23:35:42,Dravynea Uta,Awakened Keeper,Awakened Keeper,,73,Penetrates
3892,2023-02-01 23:35:42,Dravynea Uta,Awakened Keeper,Awakened Keeper,,41,Hits
3897,2023-02-01 23:35:46,Dravynea Uta,Sleepless Sentinel,Sleepless Sentinel,,149,Grazes
3900,2023-02-01 23:35:47,Dravynea Uta,Awakened Keeper,Awakened Keeper,,51,Penetrates
3901,2023-02-01 23:35:47,Dravynea Uta,Awakened Keeper,Awakened Keeper,,49,Penetrates
3903,2023-02-01 23:35:50,Dravynea Uta,Sleepless Sentinel,Sleepless Sentinel,Phantasmata Missile,1260,Hits
3904,2023-02-01 23:35:51,Dravynea Uta,Sleepless Sentinel,Sleepless Sentinel,,180,Glances Off
3907,2023-02-01 23:35:52,Dravynea Uta,Awakened Keeper,Awakened Keeper,,57,Smashes
3910,2023-02-01 23:35:56,Dravynea Uta,Sleepless Sentinel,Sleepless Sentinel,,292,Penetrates
3912,2023-02-01 23:35:57,Dravynea Uta,Awakened Keeper,Awakened Keeper,,57,Smashes
3915,2023-02-01 23:36:02,Dravynea Uta,Awakened Keeper,Awakened Keeper,,25,Grazes
3917,2023-02-01 23:36:07,Dravynea Uta,Awakened Keeper,Awakened Keeper,,54,Penetrates
3944,2023-02-01 23:37:09,Dravynea Uta,Brian Caruso,Paladin,Imperial Navy Large EMP Smartbomb,246,Hits
3946,2023-02-01 23:37:10,Dravynea Uta,Emergent Warden,Emergent Warden,,25,Penetrates
3947,2023-02-01 23:37:10,Dravynea Uta,Emergent Warden,Emergent Warden,,17,Hits
3948,2023-02-01 23:37:11,Dravynea Uta,Emergent Warden,Emergent Warden,Oneiric Missile,54,Hits
3950,2023-02-01 23:37:12,Dravynea Uta,Awakened Sentinel,Awakened Sentinel,,31,Glances Off
3954,2023-02-01 23:37:13,Dravynea Uta,Emergent Warden,Emergent Warden,,28,Smashes
3958,2023-02-01 23:37:15,Dravynea Uta,Awakened Sentinel,Awakened Sentinel,Praedormitan Missile,159,Hits
3959,2023-02-01 23:37:15,Dravynea Uta,Emergent Warden,Emergent Warden,,17,Hits
3960,2023-02-01 23:37:15,Dravynea Uta,Emergent Warden,Emergent Warden,,26,Penetrates
3962,2023-02-01 23:37:15,Dravynea Uta,Sleepless Keeper,Sleepless Keeper,,528,Hits
3964,2023-02-01 23:37:17,Dravynea Uta,Brian Caruso,Paladin,Imperial Navy Large EMP Smartbomb,80,Hits
3965,2023-02-01 23:37:17,Dravynea Uta,Awakened Sentinel,Awakened Sentinel,,61,Smashes
3966,2023-02-01 23:37:18,Dravynea Uta,Emergent Warden,Emergent Warden,,15,Glances Off
3968,2023-02-01 23:37:20,Dravynea Uta,Emergent Warden,Emergent Warden,Oneiric Missile,54,Hits
3970,2023-02-01 23:37:20,Dravynea Uta,Emergent Warden,Emergent Warden,,16,Glances Off
3971,2023-02-01 23:37:20,Dravynea Uta,Emergent Warden,Emergent Warden,,28,Penetrates
3972,2023-02-01 23:37:20,Dravynea Uta,Sleepless Keeper,Sleepless Keeper,,326,Grazes
3973,2023-02-01 23:37:21,Dravynea Uta,Lamasul,Vargur,Imperial Navy Large EMP Smartbomb,80,Hits
3975,2023-02-01 23:37:21,Dravynea Uta,Lamasul,Vargur,Imperial Navy Large EMP Smartbomb,79,Hits
3976,2023-02-01 23:37:22,Dravynea Uta,Lamasul,Vargur,Imperial Navy Large EMP Smartbomb,79,Hits
3977,2023-02-01 23:37:22,Dravynea Uta,Awakened Sentinel,Awakened Sentinel,,46,Penetrates
3979,2023-02-01 23:37:23,Dravynea Uta,Emergent Warden,Emergent Warden,,28,Smashes
3982,2023-02-01 23:37:25,Dravynea Uta,Brian Caruso,Paladin,Imperial Navy Large EMP Smartbomb,80,Hits
3983,2023-02-01 23:37:25,Dravynea Uta,Emergent Warden,Emergent Warden,,13,Grazes
3984,2023-02-01 23:37:25,Dravynea Uta,Emergent Warden,Emergent Warden,,12,Grazes
3986,2023-02-01 23:37:25,Dravynea Uta,Sleepless Keeper,Sleepless Keeper,,846,Smashes
3988,2023-02-01 23:37:27,Dravynea Uta,Awakened Sentinel,Awakened Sentinel,,52,Penetrates
3989,2023-02-01 23:37:28,Dravynea Uta,Emergent Warden,Emergent Warden,,31,Smashes
3990,2023-02-01 23:37:28,Dravynea Uta,Lamasul,Vargur,Imperial Navy Large EMP Smartbomb,80,Hits
3991,2023-02-01 23:37:29,Dravynea Uta,Emergent Warden,Emergent Warden,Oneiric Missile,54,Hits
3992,2023-02-01 23:37:29,Dravynea Uta,Lamasul,Vargur,Imperial Navy Large EMP Smartbomb,79,Hits
3993,2023-02-01 23:37:29,Dravynea Uta,Lamasul,Vargur,Imperial Navy Large EMP Smartbomb,79,Hits
3995,2023-02-01 23:37:32,Dravynea Uta,Awakened Sentinel,Awakened Sentinel,,36,Hits
3996,2023-02-01 23:37:33,Dravynea Uta,Brian Caruso,Paladin,Imperial Navy Large EMP Smartbomb,80,Hits
4586,2023-02-01 23:45:09,Dravynea Uta,Orthrus,Orthrus,,1153,Smashes
4587,2023-02-01 23:45:09,Dravynea Uta,Orthrus,Orthrus,,1182,Smashes
4588,2023-02-01 23:45:09,Dravynea Uta,Orthrus,Orthrus,,747,Hits
4597,2023-02-01 23:45:24,Dravynea Uta,Orthrus,Orthrus,,727,Hits
4598,2023-02-01 23:45:24,Dravynea Uta,Orthrus,Orthrus,,1149,Smashes
4599,2023-02-01 23:45:24,Dravynea Uta,Orthrus,Orthrus,,442,Smashes
4606,2023-02-01 23:45:39,Dravynea Uta,Orthrus,Orthrus,,387,Penetrates
4619,2023-02-01 23:46:10,Dravynea Uta,Emergent Sentinel,Emergent Sentinel,,36,Hits
4620,2023-02-01 23:46:10,Dravynea Uta,Emergent Sentinel,Emergent Sentinel,,40,Penetrates
4628,2023-02-01 23:46:14,Dravynea Uta,Emergent Sentinel,Emergent Sentinel,,15,Hits
4629,2023-02-01 23:46:14,Dravynea Uta,Emergent Sentinel,Emergent Sentinel,,18,Penetrates
4630,2023-02-01 23:46:14,Dravynea Uta,Emergent Sentinel,Emergent Sentinel,,23,Smashes
4636,2023-02-01 23:46:15,Dravynea Uta,Emergent Sentinel,Emergent Sentinel,,13,Hits
4637,2023-02-01 23:46:15,Dravynea Uta,Emergent Sentinel,Emergent Sentinel,,20,Smashes
4639,2023-02-01 23:46:18,Dravynea Uta,Emergent Keeper,Emergent Keeper,,9,Hits
4640,2023-02-01 23:46:18,Dravynea Uta,Emergent Keeper,Emergent Keeper,,5,Grazes
4641,2023-02-01 23:46:19,Dravynea Uta,Emergent Sentinel,Emergent Sentinel,,13,Glances Off
4642,2023-02-01 23:46:19,Dravynea Uta,Emergent Sentinel,Emergent Sentinel,,16,Hits
4643,2023-02-01 23:46:19,Dravynea Uta,Emergent Sentinel,Emergent Sentinel,,18,Penetrates
4644,2023-02-01 23:46:19,Dravynea Uta,Emergent Keeper,Emergent Keeper,,5,Grazes
4645,2023-02-01 23:46:20,Dravynea Uta,Emergent Keeper,Emergent Keeper,Oneiric Missile,36,Hits
4646,2023-02-01 23:46:20,Dravynea Uta,Emergent Keeper,Emergent Keeper,Oneiric Missile,36,Hits
4647,2023-02-01 23:46:20,Dravynea Uta,Emergent Sentinel,Emergent Sentinel,,19,Penetrates
4648,2023-02-01 23:46:20,Dravynea Uta,Emergent Sentinel,Emergent Sentinel,,19,Penetrates
4649,2023-02-01 23:46:21,Dravynea Uta,Emergent Keeper,Emergent Keeper,Oneiric Missile,36,Hits
4650,2023-02-01 23:46:21,Dravynea Uta,Emergent Keeper,Emergent Keeper,,10,Penetrates
4654,2023-02-01 23:46:22,Dravynea Uta,Emergent Keeper,Emergent Keeper,Oneiric Missile,36,Hits
4657,2023-02-01 23:46:23,Dravynea Uta,Emergent Keeper,Emergent Keeper,Oneiric Missile,36,Hits
4658,2023-02-01 23:46:23,Dravynea Uta,Emergent Keeper,Emergent Keeper,,6,Grazes
4659,2023-02-01 23:46:23,Dravynea Uta,Emergent Keeper,Emergent Keeper,,11,Penetrates
4660,2023-02-01 23:46:23,Dravynea Uta,Emergent Keeper,Emergent Keeper,,13,Smashes
4662,2023-02-01 23:46:24,Dravynea Uta,Emergent Keeper,Emergent Keeper,Oneiric Missile,36,Hits
4663,2023-02-01 23:46:24,Dravynea Uta,Emergent Sentinel,Emergent Sentinel,,14,Hits
4664,2023-02-01 23:46:24,Dravynea Uta,Emergent Sentinel,Emergent Sentinel,,25,Smashes
4665,2023-02-01 23:46:24,Dravynea Uta,Emergent Sentinel,Emergent Sentinel,,23,Smashes
4666,2023-02-01 23:46:24,Dravynea Uta,Emergent Keeper,Emergent Keeper,,9,Hits
4669,2023-02-01 23:46:25,Dravynea Uta,Sleepless Sentinel,Sleepless Sentinel,,352,Smashes
4671,2023-02-01 23:46:25,Dravynea Uta,Sleepless Sentinel,Sleepless Sentinel,,226,Hits
4672,2023-02-01 23:46:25,Dravynea Uta,Emergent Sentinel,Emergent Sentinel,,20,Penetrates
4673,2023-02-01 23:46:25,Dravynea Uta,Emergent Sentinel,Emergent Sentinel,,14,Hits
4676,2023-02-01 23:46:26,Dravynea Uta,Sleepless Sentinel,Sleepless Sentinel,Phantasmata Missile,1260,Hits
4677,2023-02-01 23:46:26,Dravynea Uta,Emergent Keeper,Emergent Keeper,,12,Smashes
4678,2023-02-01 23:46:26,Dravynea Uta,Emergent Keeper,Emergent Keeper,,11,Penetrates
4680,2023-02-01 23:46:26,Dravynea Uta,Sleepless Sentinel,Sleepless Sentinel,,268,Penetrates
4685,2023-02-01 23:46:28,Dravynea Uta,Sleepless Sentinel,Sleepless Sentinel,Phantasmata Missile,1260,Hits
4686,2023-02-01 23:46:28,Dravynea Uta,Sleepless Sentinel,Sleepless Sentinel,Phantasmata Missile,1260,Hits
4687,2023-02-01 23:46:28,Dravynea Uta,Emergent Keeper,Emergent Keeper,Oneiric Missile,36,Hits
4688,2023-02-01 23:46:28,Dravynea Uta,Emergent Keeper,Emergent Keeper,Oneiric Missile,36,Hits
4689,2023-02-01 23:46:28,Dravynea Uta,Emergent Keeper,Emergent Keeper,Oneiric Missile,36,Hits
4690,2023-02-01 23:46:28,Dravynea Uta,Emergent Keeper,Emergent Keeper,,12,Smashes
4691,2023-02-01 23:46:28,Dravynea Uta,Emergent Keeper,Emergent Keeper,,11,Smashes
4692,2023-02-01 23:46:28,Dravynea Uta,Emergent Keeper,Emergent Keeper,,9,Penetrates
4693,2023-02-01 23:46:29,Dravynea Uta,Emergent Sentinel,Emergent Sentinel,,20,Penetrates
4694,2023-02-01 23:46:29,Dravynea Uta,Emergent Sentinel,Emergent Sentinel,,21,Penetrates
4695,2023-02-01 23:46:29,Dravynea Uta,Emergent Sentinel,Emergent Sentinel,,20,Penetrates
4696,2023-02-01 23:46:29,Dravynea Uta,Emergent Keeper,Emergent Keeper,,9,Penetrates
4698,2023-02-01 23:46:30,Dravynea Uta,Emergent Keeper,Emergent Keeper,Oneiric Missile,36,Hits
4699,2023-02-01 23:46:30,Dravynea Uta,Sleepless Sentinel,Sleepless Sentinel,,277,Penetrates
4700,2023-02-01 23:46:30,Dravynea Uta,Sleepless Sentinel,Sleepless Sentinel,,186,Hits
4701,2023-02-01 23:46:30,Dravynea Uta,Emergent Sentinel,Emergent Sentinel,,20,Penetrates
4702,2023-02-01 23:46:30,Dravynea Uta,Emergent Sentinel,Emergent Sentinel,,26,Smashes
4703,2023-02-01 23:46:31,Dravynea Uta,Emergent Keeper,Emergent Keeper,Oneiric Missile,36,Hits
4704,2023-02-01 23:46:31,Dravynea Uta,Emergent Keeper,Emergent Keeper,,8,Hits
4705,2023-02-01 23:46:31,Dravynea Uta,Emergent Keeper,Emergent Keeper,,11,Penetrates
4706,2023-02-01 23:46:31,Dravynea Uta,Sleepless Sentinel,Sleepless Sentinel,,198,Hits
4708,2023-02-01 23:46:32,Dravynea Uta,Emergent Keeper,Emergent Keeper,Oneiric Missile,36,Hits
4711,2023-02-01 23:46:33,Dravynea Uta,Emergent Keeper,Emergent Keeper,,5,Grazes
4712,2023-02-01 23:46:33,Dravynea Uta,Emergent Keeper,Emergent Keeper,,11,Smashes
4713,2023-02-01 23:46:33,Dravynea Uta,Emergent Keeper,Emergent Keeper,,7,Glances Off
4715,2023-02-01 23:46:34,Dravynea Uta,Emergent Sentinel,Emergent Sentinel,,10,Grazes
4716,2023-02-01 23:46:34,Dravynea Uta,Emergent Sentinel,Emergent Sentinel,,10,Grazes
4717,2023-02-01 23:46:34,Dravynea Uta,Emergent Sentinel,Emergent Sentinel,,20,Penetrates
4718,2023-02-01 23:46:34,Dravynea Uta,Emergent Keeper,Emergent Keeper,,10,Penetrates
4721,2023-02-01 23:46:35,Dravynea Uta,Sleepless Sentinel,Sleepless Sentinel,,170,Glances Off
4723,2023-02-01 23:46:35,Dravynea Uta,Sleepless Sentinel,Sleepless Sentinel,,235,Hits
4724,2023-02-01 23:46:35,Dravynea Uta,Emergent Sentinel,Emergent Sentinel,,14,Hits
4725,2023-02-01 23:46:35,Dravynea Uta,Emergent Sentinel,Emergent Sentinel,,20,Penetrates
4726,2023-02-01 23:46:36,Dravynea Uta,Emergent Keeper,Emergent Keeper,,5,Grazes
4727,2023-02-01 23:46:36,Dravynea Uta,Emergent Keeper,Emergent Keeper,,12,Smashes
4729,2023-02-01 23:46:36,Dravynea Uta,Sleepless Sentinel,Sleepless Sentinel,,197,Hits
4733,2023-02-01 23:46:38,Dravynea Uta,Emergent Keeper,Emergent Keeper,Oneiric Missile,36,Hits
4734,2023-02-01 23:46:38,Dravynea Uta,Emergent Keeper,Emergent Keeper,Oneiric Missile,36,Hits
4735,2023-02-01 23:46:38,Dravynea Uta,Emergent Keeper,Emergent Keeper,Oneiric Missile,36,Hits
4736,2023-02-01 23:46:38,Dravynea Uta,Emergent Keeper,Emergent Keeper,,11,Smashes
4737,2023-02-01 23:46:38,Dravynea Uta,Emergent Keeper,Emergent Keeper,,8,Hits
4738,2023-02-01 23:46:38,Dravynea Uta,Emergent Keeper,Emergent Keeper,,8,Hits
4739,2023-02-01 23:46:39,Dravynea Uta,Emergent Keeper,Emergent Keeper,Oneiric Missile,36,Hits
4740,2023-02-01 23:46:39,Dravynea Uta,Emergent Sentinel,Emergent Sentinel,,53,Wrecks
4741,2023-02-01 23:46:39,Dravynea Uta,Emergent Sentinel,Emergent Sentinel,,23,Smashes
4742,2023-02-01 23:46:39,Dravynea Uta,Emergent Sentinel,Emergent Sentinel,,13,Glances Off
4743,2023-02-01 23:46:39,Dravynea Uta,Emergent Keeper,Emergent Keeper,,5,Grazes
4745,2023-02-01 23:46:40,Dravynea Uta,Emergent Keeper,Emergent Keeper,Oneiric Missile,36,Hits
4746,2023-02-01 23:46:40,Dravynea Uta,Sleepless Sentinel,Sleepless Sentinel,,239,Hits
4747,2023-02-01 23:46:40,Dravynea Uta,Sleepless Sentinel,Sleepless Sentinel,,213,Hits
4748,2023-02-01 23:46:40,Dravynea Uta,Emergent Sentinel,Emergent Sentinel,,22,Smashes
4749,2023-02-01 23:46:40,Dravynea Uta,Emergent Sentinel,Emergent Sentinel,,14,Hits
4750,2023-02-01 23:46:41,Dravynea Uta,Emergent Keeper,Emergent Keeper,Oneiric Missile,36,Hits
4751,2023-02-01 23:46:41,Dravynea Uta,Emergent Keeper,Emergent Keeper,,6,Glances Off
4752,2023-02-01 23:46:41,Dravynea Uta,Emergent Keeper,Emergent Keeper,,7,Hits
4753,2023-02-01 23:46:41,Dravynea Uta,Sleepless Sentinel,Sleepless Sentinel,,342,Smashes
4755,2023-02-01 23:46:43,Dravynea Uta,Emergent Keeper,Emergent Keeper,,8,Hits
4756,2023-02-01 23:46:43,Dravynea Uta,Emergent Keeper,Emergent Keeper,,10,Penetrates
4757,2023-02-01 23:46:43,Dravynea Uta,Emergent Keeper,Emergent Keeper,,8,Hits
4758,2023-02-01 23:46:44,Dravynea Uta,Emergent Sentinel,Emergent Sentinel,,10,Grazes
4759,2023-02-01 23:46:44,Dravynea Uta,Emergent Sentinel,Emergent Sentinel,,11,Glances Off
4760,2023-02-01 23:46:44,Dravynea Uta,Emergent Sentinel,Emergent Sentinel,,21,Penetrates
4761,2023-02-01 23:46:44,Dravynea Uta,Emergent Keeper,Emergent Keeper,,9,Penetrates
4763,2023-02-01 23:46:45,Dravynea Uta,Sleepless Sentinel,Sleepless Sentinel,Phantasmata Missile,1260,Hits
4765,2023-02-01 23:46:45,Dravynea Uta,Sleepless Sentinel,Sleepless Sentinel,,355,Smashes
4767,2023-02-01 23:46:45,Dravynea Uta,Sleepless Sentinel,Sleepless Sentinel,,292,Penetrates
4768,2023-02-01 23:46:45,Dravynea Uta,Emergent Sentinel,Emergent Sentinel,,20,Penetrates
4769,2023-02-01 23:46:45,Dravynea Uta,Emergent Sentinel,Emergent Sentinel,,24,Smashes
4770,2023-02-01 23:46:46,Dravynea Uta,Sleepless Sentinel,Sleepless Sentinel,Phantasmata Missile,1260,Hits
4771,2023-02-01 23:46:46,Dravynea Uta,Sleepless Sentinel,Sleepless Sentinel,Phantasmata Missile,1260,Hits
4772,2023-02-01 23:46:46,Dravynea Uta,Emergent Keeper,Emergent Keeper,,13,Smashes
4773,2023-02-01 23:46:46,Dravynea Uta,Emergent Keeper,Emergent Keeper,,6,Glances Off
4775,2023-02-01 23:46:46,Dravynea Uta,Sleepless Sentinel,Sleepless Sentinel,,164,Glances Off
4776,2023-02-01 23:46:47,Dravynea Uta,Emergent Keeper,Emergent Keeper,Oneiric Missile,36,Hits
4777,2023-02-01 23:46:47,Dravynea Uta,Emergent Keeper,Emergent Keeper,Oneiric Missile,36,Hits
4778,2023-02-01 23:46:47,Dravynea Uta,Emergent Keeper,Emergent Keeper,Oneiric Missile,36,Hits
4781,2023-02-01 23:46:48,Dravynea Uta,Emergent Keeper,Emergent Keeper,Oneiric Missile,36,Hits
4782,2023-02-01 23:46:48,Dravynea Uta,Emergent Keeper,Emergent Keeper,,8,Hits
4783,2023-02-01 23:46:48,Dravynea Uta,Emergent Keeper,Emergent Keeper,,11,Penetrates
4784,2023-02-01 23:46:48,Dravynea Uta,Emergent Keeper,Emergent Keeper,,13,Smashes
4785,2023-02-01 23:46:49,Dravynea Uta,Emergent Keeper,Emergent Keeper,Oneiric Missile,36,Hits
4786,2023-02-01 23:46:49,Dravynea Uta,Emergent Sentinel,Emergent Sentinel,,22,Smashes
4787,2023-02-01 23:46:49,Dravynea Uta,Emergent Sentinel,Emergent Sentinel,,22,Smashes
4788,2023-02-01 23:46:49,Dravynea Uta,Emergent Sentinel,Emergent Sentinel,,25,Smashes
4789,2023-02-01 23:46:49,Dravynea Uta,Emergent Keeper,Emergent Keeper,,11,Smashes
4791,2023-02-01 23:46:50,Dravynea Uta,Emergent Keeper,Emergent Keeper,Oneiric Missile,36,Hits
4792,2023-02-01 23:46:50,Dravynea Uta,Sleepless Sentinel,Sleepless Sentinel,,181,Glances Off
4793,2023-02-01 23:46:50,Dravynea Uta,Emergent Sentinel,Emergent Sentinel,,12,Glances Off
4794,2023-02-01 23:46:50,Dravynea Uta,Emergent Sentinel,Emergent Sentinel,,25,Smashes
4795,2023-02-01 23:46:51,Dravynea Uta,Emergent Keeper,Emergent Keeper,,7,Hits
4796,2023-02-01 23:46:51,Dravynea Uta,Emergent Keeper,Emergent Keeper,,8,Hits
